date,state,income_mean,income_median,expenditure_mean,gini,poverty,year_x,exp_to_income_ratio,year_y,division,division_label,cpi_mean
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,06,Health,115.33333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,07,Transport,124.90833333333335
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,08,Communication,91.91666666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,09,Recreation & Culture,112.68333333333334
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,10,Education,128.11666666666665
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,11,Restaurants & Hotels,137.86666666666667
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,12,Insurance & Financial Services,105.58333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,13,Personal Care & Miscellaneous,117.88333333333333
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,0.5870919324577861,2022,overall,Overall CPI,128.475
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,01,Food & Non-Alcoholic Beverages,129.15
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,02,Alcoholic Beverages & Tobacco,132.7
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,03,Clothing & Footwear,88.93333333333334
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,04,"Housing, Water, Electricity & Gas",120.01666666666667
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,05,Furnishings & Household Equipment,107.70833333333333
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,06,Health,131.65
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,07,Transport,120.26666666666667
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,08,Communication,99.7
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,09,Recreation & Culture,121.94166666666666
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,10,Education,130.2
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,11,Restaurants & Hotels,128.60833333333332
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,12,Insurance & Financial Services,105.5
2022-01-01,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,0.5061818181818182,2022,13,Personal Care & Miscellaneous,113.5
